city_name,FrostDay_perYear,GVA,Rainfall_perMon,SummerDay_ave_temperature,SummerNight_ave_temperature,Sunshine_perMon,WinterDay_ave_temperature,WinterNight_ave_temperature,house_price,population,road_traffic_2015,road_traffic_2016,traffic_noise,unemployment,number_of_universities_per_person,pubs_number_per_person,total_jobs_per_person,school_number_per_person,stations_number_per_person,hospitals_number_per_person
Birmingham,38.0,43300.0,52.1542635659,20.9212121212,11.4757575758,122.997533,7.790625,2.034375,161032.332958,2419500.0,78.4,78.9,207400.0,11.73,8.26617069642e-07,2.66395029081e-07,0.420913411862,1.1034517309e-07,2.39283888581e-07,7.32445504747e-08
Tees Grove,38.0,43300.0,52.1542635659,20.9212121212,11.4757575758,122.997533,7.790625,2.034375,161032.332958,2419500.0,78.4,78.9,207400.0,11.73,8.26617069642e-07,2.66395029081e-07,0.420913411862,1.1034517309e-07,2.39283888581e-07,7.32445504747e-08
Burnley,36.0,44300.0,76.3302325581,19.2090909091,11.3575757576,113.440310078,6.990625,1.85625,135115.896925,176511.0,38.4,39.0,12000.0,6.87,0.0,8.60668197052e-07,0.374480910538,1.71677857488e-07,3.97569775235e-07,0.0
Queensbury,36.0,42400.0,76.3302325581,19.2090909091,11.3575757576,113.440310078,6.990625,1.85625,129184.908492,522452.0,61.3,64.0,125300.0,12.31,1.91405143439e-06,1.33814215325e-06,0.379364994296,1.65004433999e-07,4.3653804644e-07,1.69599494186e-07
Bingley,36.0,42400.0,76.3302325581,19.2090909091,11.3575757576,113.440310078,6.990625,1.85625,129184.908492,522452.0,61.3,64.0,125300.0,12.31,1.91405143439e-06,1.33814215325e-06,0.379364994296,1.65004433999e-07,4.3653804644e-07,1.69599494186e-07
Steeton,36.0,42400.0,76.3302325581,19.2090909091,11.3575757576,113.440310078,6.990625,1.85625,129184.908492,522452.0,61.3,64.0,125300.0,12.31,1.91405143439e-06,1.33814215325e-06,0.379364994296,1.65004433999e-07,4.3653804644e-07,1.69599494186e-07
Keighley,36.0,42400.0,76.3302325581,19.2090909091,11.3575757576,113.440310078,6.990625,1.85625,129184.908492,522452.0,61.3,64.0,125300.0,12.31,1.91405143439e-06,1.33814215325e-06,0.379364994296,1.65004433999e-07,4.3653804644e-07,1.69599494186e-07
Worthing,15.0,49700.0,65.4372093023,20.4333333333,13.8818181818,157.586046512,9.00625,3.821875,302720.595783,104640.0,27.2,27.7,36700.0,5.68,0.0,1.09942897351e-06,0.437691131498,1.79747490725e-07,6.7063683674e-07,2.41938605659e-07
Birkenhead,54.0,42700.0,57.5348837209,20.0272727273,10.8363636364,115.246511628,7.828125,1.159375,146466.237533,319783.0,40.6,40.0,21800.0,8.61,0.0,9.96250803815e-07,0.307708664938,2.94086574794e-08,1.3166823489e-06,0.0
Coventry,38.0,42900.0,52.1542635659,20.9212121212,11.4757575758,122.997533,7.790625,2.034375,159437.5085,316960.0,47.8,44.3,14900.0,9.43,6.30994447249e-06,9.07403519274e-07,0.452423018677,2.34067950651e-07,1.10700780219e-07,3.99363574208e-08
