Location/Agglomeration;55dB or more at NIGHT (number of people exposed from road traffic noise)
Tyneside;51600
Sunderland Urban Area;7100
Teesside;9100
Blackpool Urban Area;12200
Preston Urban Area;20700
Blackburn/Darwen;11600
Burnley/Nelson;12000
West Yorkshire Urban Area;125300
York;7100
Kingston upon Hull;8100
Wigan Urban Area;16600
Birkenhead Urban Area;21800
Liverpool Urban Area;60000
Southport/Formby;6100
Greater Manchester Urban Area;255700
Warrington Urban Area;14300
Dearne Valley Urban Area;11700
Sheffield Urban Area;45600
Doncaster Urban Area;8700
Grimsby/Cleethorpes;7600
The Potteries;25200
Chesterfield/Staveley;4500
Mansfield Urban Area;6000
Lincoln Urban Area;4100
Telford Urban Area;2600
Derby Urban Area;14100
Nottingham Urban Area;45900
Norwich Urban Area;13300
West Midlands Urban Area;207400
Nuneaton Urban Area;2500
Coventry/Bedworth;14900
Leicester Urban Area;27300
Peterborough;5000
Milton Keynes Urban Area;2900
Northampton Urban Area;14400
Bedford/Kempston;7000
Cambridge Urban Area;11000
Gloucester Urban Area;6800
Cheltenham/Charlton Kings;8600
Oxford;13000
Luton/Dunstable;11000
St Albans/Hatfield;9000
Colchester;6300
Ipswich Urban Area;10300
Bristol Urban Area;50200
Swindon;5800
Reading/Wokingham;32200
High Wycombe Urban Area;16500
Greater London Urban Area;1106500
Slough Urban Area;14500
Southend Urban Area;16100
The Medway Towns Urban Area;14700
Basildon/North Benfleet;2700
Thanet;6200
Aldershot Urban Area;22000
Crawley Urban Area;15000
Exeter;4400
Bournemouth Urban Area;23000
Portsmouth Urban Area;39300
Southampton Urban Area;33500
Brighton/Worthing/Littlehampton;36700
Hastings/Bexhill;12500
Eastbourne;7900
Plymouth;7100
Torbay;6400
Major sources (outside agglomerations);969300
