City,Country,"Total jobs 2011"
Aberdeen,"United Kingdom",176400
Aldershot,"United Kingdom",90300
Barnsley,"United Kingdom",73700
Basildon,"United Kingdom",78400
Birkenhead,"United Kingdom",98400
Birmingham,"United Kingdom",1018400
Blackburn,"United Kingdom",58400
Blackpool,"United Kingdom",96900
Bournemouth,"United Kingdom",201900
Bradford,"United Kingdom",198200
Brighton,"United Kingdom",144700
Bristol,"United Kingdom",386400
Burnley,"United Kingdom",66100
Cambridge,"United Kingdom",90500
Cardiff,"United Kingdom",196900
Chatham,"United Kingdom",82800
Coventry,"United Kingdom",143400
Crawley,"United Kingdom",81400
Derby,"United Kingdom",120300
Doncaster,"United Kingdom",111500
Dundee,"United Kingdom",74000
Edinburgh,"United Kingdom",319500
Exeter,"United Kingdom",84100
Glasgow,"United Kingdom",511200
Gloucester,"United Kingdom",63100
Huddersfield,"United Kingdom",154600
Hull,"United Kingdom",115200
Ipswich,"United Kingdom",67700
Leeds,"United Kingdom",406700
Leicester,"United Kingdom",226400
Liverpool,"United Kingdom",290300
London,"United Kingdom",4986300
Luton,"United Kingdom",86200
Manchester,"United Kingdom",1076100
Mansfield,"United Kingdom",83500
Middlesbrough,"United Kingdom",180200
"Milton Keynes","United Kingdom",145200
Newcastle,"United Kingdom",383300
Newport,"United Kingdom",108900
Northampton,"United Kingdom",131500
Norwich,"United Kingdom",130600
Nottingham,"United Kingdom",303800
Oxford,"United Kingdom",109300
Peterborough,"United Kingdom",97200
Plymouth,"United Kingdom",106500
Portsmouth,"United Kingdom",212900
Preston,"United Kingdom",184900
Reading,"United Kingdom",166500
Sheffield,"United Kingdom",340600
Slough,"United Kingdom",80800
Southampton,"United Kingdom",170500
Southend,"United Kingdom",105100
Stoke,"United Kingdom",153800
Sunderland,"United Kingdom",115600
Swansea,"United Kingdom",150100
Swindon,"United Kingdom",110100
Telford,"United Kingdom",77400
Wakefield,"United Kingdom",138900
Warrington,"United Kingdom",118200
Wigan,"United Kingdom",98700
Worthing,"United Kingdom",45800
York,"United Kingdom",105900
,,
,,
,,
Notes:,,
"Total jobs","Source: NOMIS, Business Register and Employment Survey"
"Total jobs","Source: NOMIS, Business Register and Employment Survey."
"Total jobs","Source: Eurostat, Labour market - cities and greater cities. Data unavailable for Belfast"
,,
,,
,,
"Data generated from: http://www.centreforcities.org/data-tool/su/17c17fe4",,
